X,Y,TOWNNAME,LONGITUDE,LATITUDE,ISCENTER,icon_url
23.6666052727826,-6.15002493416635,Mbuji-Mayi,0.0000,0.0000,Province,./0.png
23.1319011776974,-15.2770455761509,Mongu,0.0000,0.0000,Province,./0.png
12.7632822790237,-4.64675295333343,Belize,0.0000,0.0000,District,./0.png
12.5498820075324,-4.76668729440146,Buco Zau,0.0000,0.0000,District,./0.png
12.1332141403623,-5.23335408855124,Cacongo,0.0000,0.0000,District,./0.png
13.2348817853096,-8.81202785024394,Luanda,0.0000,0.0000,Country Capital,./0.png
11.8595301342947,-4.80741506684143,Pointe Noire,0.0000,0.0000,No,./0.png
18.7879498440727,-5.03113311038014,Kikwit,0.0000,0.0000,No,./0.png
22.647398834681,-14.9975443782368,Kalabo,0.0000,0.0000,No,./0.png
19.72303036704,-17.9552982971537,Rundu,0.0000,0.0000,Province,./0.png
15.6519474185712,-7.69199658388403,Puri,15.6521,-7.6920,District,./0.png
14.645635480026,-7.44446583945348,Ambuila,14.6458,-7.4444,District,./0.png
14.8490559046516,-7.35577572058532,Songo,14.8492,-7.3557,District,./0.png
15.2668866272708,-7.76919663230517,Negage,15.2670,-7.7692,District,./0.png
15.3834369463556,-7.43808601738098,Bungo,15.3836,-7.4381,District,./0.png
15.1288066230603,-6.67738447081033,Damba,15.1289,-6.6774,District,./0.png
15.8492477409536,-7.97169718547748,Alto Cauale,15.8494,-7.9717,District,./0.png
16.1659985510122,-7.31521597325811,Sanza Pombo,16.1661,-7.3152,District,./0.png
15.0462861414981,-7.94041690486567,Quitexe,15.0464,-7.9404,District,./0.png
16.2129688299992,-6.52591441821414,Quimbele,16.2131,-6.5259,District,./0.png
16.1340785661927,-6.98455531045853,Milunga (Macocola),16.1342,-6.9845,District,./0.png
15.0562762484666,-7.61577627820211,Uige,15.0564,-7.6158,Province,./0.png
14.9105754638296,-9.30330949307201,Ndalatando,14.9107,-9.3033,Province,./0.png
15.2502761538058,-9.26708953218169,Lucala,15.2504,-9.2671,District,./0.png
14.7886952742047,-9.13938913956314,Golungo Alto,14.7888,-9.1394,District,./0.png
14.4233243689099,-9.68947006988842,Dondo,14.4234,-9.6894,District,./0.png
15.3733567242068,-8.19146748334029,Camabatela,15.3735,-8.1914,District,./0.png
15.3103265038739,-8.51905810190471,Quiculungo,15.3104,-8.5190,District,./0.png
15.2480763954338,-8.46433797752791,Bolongongo,15.2482,-8.4643,District,./0.png
15.169466159522,-8.72996846872093,Banga,15.1696,-8.7299,District,./0.png
15.405746623019,-8.7607785995732,Samba Caju,15.4059,-8.7607,District,./0.png
14.7265252227151,-8.91119868249646,Gonguembo,14.7266,-8.9112,District,./0.png
13.8554426745203,-11.2361427735988,Sumbe,13.8556,-11.2361,Province,./0.png
13.7549426767547,-10.7297017898488,Porto Amboim,13.7551,-10.7297,District,./0.png
14.3349638521917,-10.6414718414533,Quilenda,14.3351,-10.6414,District,./0.png
14.3687138384198,-10.8528622530047,Gabela,14.3688,-10.8528,District,./0.png
14.8932751944858,-10.0000908227938,Calulo,14.8934,-10.0001,District,./0.png
14.9816351036476,-10.7360022606581,Quibala,14.9818,-10.7360,District,./0.png
14.2887734616442,-11.4044732603027,Vila Nova Seles,14.2889,-11.4044,District,./0.png
14.336573674101,-11.1108127268548,Conda,14.3367,-11.1108,District,./0.png
15.0548248065949,-11.8528444156055,Cassongue,15.0549,-11.8528,District,./0.png
15.1183551335284,-11.3658435142203,Wacu Kungu,15.1185,-11.3658,District,./0.png
14.6932744090617,-11.0448627395825,Ebo,14.6934,-11.0448,District,./0.png
16.3515782895644,-9.55025043729299,Malanje,16.3517,-9.5502,Province,./0.png
15.7421070923877,-9.42441999487156,Cacuso,15.7422,-9.4244,District,./0.png
15.9552476291787,-9.09174941256853,Calandula,15.9554,-9.0917,District,./0.png
17.0718598589176,-9.2661401020635,Quela,17.0720,-9.2661,District,./0.png
16.5193288968981,-8.69416879959484,Kahombo,16.5194,-8.6941,District,./0.png
16.3437187255713,-8.03330744144429,Massango,16.3438,-8.0333,District,./0.png
16.8546093421264,-9.48467046858756,Caculama,16.8547,-9.4846,District,./0.png
16.0859981427138,-8.25002779829347,Kiwaba Nzonji,16.0861,-8.2500,District,./0.png
18.0438319176406,-9.14725015867578,Cuango,18.0439,-9.1472,District,./0.png
17.810861315296,-9.51920083878185,Xa Muteba,17.8110,-9.5192,District,./0.png
13.4009912044499,-12.5791150673954,Benguela,13.4011,-12.5791,Province,./0.png
13.1979407919648,-12.612845038699,Baia Farta,13.1981,-12.6128,District,./0.png
13.55324161155,-12.3395346937944,Lobito,13.5534,-12.3395,District,./0.png
14.2480726637813,-13.0400962990158,Cubal,14.2482,-13.0401,District,./0.png
14.6336934442085,-13.0200064358146,Ganda,14.6338,-13.0200,District,./0.png
14.7703040193546,-12.3554552476974,Balombo,14.7704,-12.3554,District,./0.png
14.1366527033275,-12.4720951930791,Bocoio,14.1368,-12.4721,District,./0.png
14.0008821807948,-13.0221461534167,Caimbambo,14.0010,-13.0221,District,./0.png
13.941601795999,-13.5753971472084,Chongoroi,13.9417,-13.5754,District,./0.png
